ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00261DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00262DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00263DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00264DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00265DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00266DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00267DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00268DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00269DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00270DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00271DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00272DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00273DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00274DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00275DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00276DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00277DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00278DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00279DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00280DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00281DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00282DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00283DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00284DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00285DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00286DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00287DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00288DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00289DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00290DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00291DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00292DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00293DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00294DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00295DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00296DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00297DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00298DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00299DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00300DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00301DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00302DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00303DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00304DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00305DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00306DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00307DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00308DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00309DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00310DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00311DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00312DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
K00313DC	3	1,00	0,00	0,05	0,00	0,20	0,00	0,00
