id	band	time	status	X0	Y0	Z0	omega	phi	kappa
K00291DC	3	 1205,200000	adjusted	343164,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00292DC	3	 1209,200000	adjusted	343148,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00293DC	3	 1213,386000	adjusted	343133,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00294DC	3	 1217,386000	adjusted	343117,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00295DC	3	 1221,588000	adjusted	343101,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00296DC	3	 1225,586000	adjusted	343085,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00297DC	3	 1229,788000	adjusted	343069,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00298DC	3	 1233,787000	adjusted	343053,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00299DC	3	 1237,987000	adjusted	343037,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00300DC	3	 1241,985000	adjusted	343021,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00301DC	3	 1246,200000	adjusted	343005,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00302DC	3	 1250,388000	adjusted	342988,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00303DC	3	 1254,386000	adjusted	342972,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00304DC	3	 1258,586000	adjusted	342955,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00305DC	3	 1262,587000	adjusted	342939,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00306DC	3	 1266,787000	adjusted	342923,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00307DC	3	 1270,789000	adjusted	342907,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
K00308DC	3	 1274,989000	adjusted	342890,000000000	0,000000000	0,000000000	0,000000000	0,000000000	0,000000000
