ima_id	cube_start	vX0	vY0	vZ0	vo	vp	vk
K00168DC	 872.1760 	 0.000000000 	 -0.003594967 	 -0.012182944 	 0.004993010 	 -0.047932894 	 0.000000000
K00169DC	 877.1750 	 0.000000000 	 -0.008401680 	 0.039007802 	 0.003000600 	 -0.006001200 	 0.000000000
K00170DC	 882.1730 	 0.000000000 	 -0.016006403 	 0.020808323 	 0.054621849 	 -0.042016807 	 0.000000000
K00171DC	 887.1770 	 0.000000000 	 -0.015387690 	 -0.058153477 	 -0.027577938 	 -0.001998401 	 0.000000000
K00172DC	 892.1740 	 0.000000000 	 -0.016009606 	 0.034620772 	 0.073043826 	 0.116069642 	 0.000000000
K00173DC	 897.1700 	 0.000000000 	 -0.017013611 	 0.091072858 	 0.005604484 	 -0.052041633 	 0.000000000
K00174DC	 902.1730 	 -0.000199880 	 0.183290026 	 -0.003597841 	 -0.029582251 	 0.107935239 	 0.000000000
K00175DC	 907.1700 	 0.000000000 	 -0.016209726 	 -0.003802281 	 -0.066439864 	 -0.146087653 	 0.000000000
K00176DC	 912.1690 	 0.000000000 	 -0.016203241 	 -0.103820764 	 0.081816363 	 0.156031206 	 0.000000000
K00177DC	 917.1730 	 0.000000000 	 -0.029776179 	 0.140487610 	 -0.005195843 	 -0.081934452 	 0.000000000
K00178DC	 922.1720 	 0.000000000 	 -0.034806961 	 0.001600320 	 -0.138027606 	 0.080016003 	 0.000000000
K00179DC	 927.1750 	 0.000000000 	 0.002798321 	 -0.158305017 	 0.166100340 	 -0.029982011 	 0.000000000
K00180DC	 932.1730 	 0.000000000 	 0.017607043 	 0.130452181 	 -0.120248099 	 -0.140056022 	 0.000000000
K00181DC	 937.1730 	 0.000000000 	 0.013800000 	 -0.111800000 	 0.005600000 	 0.044000000 	 0.000000000
K00182DC	 942.1750 	 0.000000000 	 0.020991603 	 0.059976010 	 0.075569772 	 -0.049980008 	 0.000000000
K00183DC	 947.1750 	 0.000000000 	 0.015000000 	 -0.036600000 	 -0.077600000 	 0.180000000 	 0.000000000
K00184DC	 952.1780 	 0.000000000 	 0.017389566 	 -0.037177693 	 -0.046971817 	 -0.177893264 	 0.000000000
K00185DC	 1053.5740 	 0.000000000 	 -0.006627480 	 0.001351138 	 0.008471735 	 -0.000591739 	 0.000000000
K00186DC	 1058.5740 	 0.000000000 	 0.016400000 	 0.010600000 	 -0.053400000 	 0.092000000 	 0.000000000
K00187DC	 1063.5770 	 0.000000000 	 -0.002398561 	 0.024785129 	 -0.089946032 	 0.011992804 	 0.000000000
K00188DC	 1068.5710 	 0.000000000 	 -0.027432920 	 0.003804565 	 0.113135763 	 -0.098117741 	 0.000000000
K00189DC	 1073.5770 	 0.000000000 	 -0.031961646 	 0.056132641 	 0.014182980 	 0.117858570 	 0.000000000
K00190DC	 1078.5780 	 -0.000199960 	 0.183563287 	 -0.086582683 	 -0.118176365 	 -0.119976005 	 0.000000000
K00191DC	 1083.5770 	 0.000000000 	 -0.014402881 	 0.023204641 	 -0.029405881 	 0.040008002 	 0.000000000
K00192DC	 1088.5780 	 0.000000000 	 -0.017996401 	 -0.011397720 	 0.162967407 	 0.091981604 	 0.000000000
K00193DC	 1093.5810 	 0.000000000 	 -0.017789326 	 -0.053367979 	 -0.183290026 	 0.049970018 	 0.000000000
K00194DC	 1098.5780 	 0.000000000 	 -0.018611167 	 0.134880929 	 0.128276966 	 -0.044026416 	 0.000000000
K00195DC	 1103.5710 	 0.000000000 	 -0.015421590 	 -0.126777488 	 -0.002803925 	 0.042058882 	 0.000000000
K00196DC	 1108.5770 	 0.000000000 	 -0.016979624 	 -0.019976029 	 -0.139232920 	 -0.165801039 	 0.000000000
K00197DC	 1113.5780 	 0.000000000 	 -0.019796041 	 0.125374925 	 0.038392322 	 0.081983603 	 0.000000000
K00198DC	 1118.5770 	 0.000000000 	 -0.031806361 	 -0.113422685 	 -0.005801160 	 0.028005601 	 0.000000000
K00199DC	 1123.5770 	 0.000000000 	 -0.018000000 	 0.071000000 	 0.044000000 	 0.026000000 	 0.000000000
K00200DC	 1128.5740 	 0.000000000 	 0.011206724 	 0.022813688 	 0.004002401 	 -0.066039624 	 0.000000000
K00201DC	 1133.5740 	 0.000000000 	 0.017800000 	 0.045000000 	 0.011600000 	 0.106000000 	 0.000000000
K00202DC	 1138.5740 	 0.000000000 	 0.017400000 	 -0.103400000 	 0.098800000 	 -0.048000000 	 0.000000000
K00203DC	 1143.5770 	 0.000000000 	 0.017189686 	 0.033180092 	 -0.052168699 	 0.043973616 	 0.000000000
K00204DC	 1148.5740 	 0.000000000 	 0.019211527 	 0.007804683 	 -0.120272163 	 -0.044026416 	 0.000000000
K00205DC	 1153.7770 	 0.000000000 	 0.016336729 	 -0.059581011 	 0.026715357 	 -0.024985585 	 0.000000000
K00206DC	 1158.7730 	 0.000000000 	 0.011609287 	 0.106685348 	 -0.024619696 	 0.062049640 	 0.000000000
K00207DC	 1163.7770 	 0.000000000 	 -0.018585132 	 0.030375699 	 0.092126299 	 -0.031974420 	 0.000000000
K00208DC	 1168.7740 	 0.000000000 	 -0.037422453 	 -0.047028217 	 -0.093656194 	 -0.080048029 	 0.000000000
K00209DC	 1173.7740 	 0.000000000 	 -0.023600000 	 -0.021400000 	 0.046200000 	 -0.050000000 	 0.000000000
K00210DC	 1178.7770 	 0.000000000 	 -0.014391365 	 0.053967619 	 -0.052768339 	 0.067959224 	 0.000000000
K00211DC	 1183.7770 	 0.000000000 	 -0.016800000 	 -0.042800000 	 0.074400000 	 -0.030000000 	 0.000000000
K00212DC	 1188.7790 	 -0.000199920 	 0.182127149 	 -0.079168333 	 0.078768493 	 0.015993603 	 0.000000000
K00213DC	 1193.7810 	 0.000000000 	 -0.015793683 	 0.087564974 	 -0.108356657 	 0.085965614 	 0.000000000
K00214DC	 1198.7810 	 0.000000000 	 -0.017200000 	 0.010000000 	 0.133200000 	 -0.092000000 	 0.000000000
K00215DC	 1203.7810 	 0.000000000 	 -0.018600000 	 -0.136400000 	 -0.134200000 	 0.004000000 	 0.000000000
K00216DC	 1208.7770 	 0.000000000 	 -0.020816653 	 0.153522818 	 0.056044836 	 0.060048038 	 0.000000000
K00217DC	 1213.7780 	 0.000000000 	 -0.029194161 	 -0.163167367 	 -0.063187363 	 0.023995201 	 0.000000000
K00218DC	 1218.7790 	 0.000000000 	 -0.023795241 	 0.102779444 	 0.062387522 	 -0.083983203 	 0.000000000
K00219DC	 1223.7770 	 0.000000000 	 0.008603441 	 0.011204482 	 -0.106842737 	 0.038015206 	 0.000000000
K00220DC	 1228.7730 	 0.000000000 	 0.017814251 	 0.037029624 	 0.153722978 	 -0.018014412 	 0.000000000
K00221DC	 1233.7750 	 0.000000000 	 0.017592963 	 0.035185926 	 -0.108156737 	 -0.073970412 	 0.000000000
K00222DC	 1238.7750 	 0.000000000 	 0.017600000 	 -0.085600000 	 0.024800000 	 0.004000000 	 0.000000000
K00223DC	 1243.7720 	 0.000000000 	 0.016009606 	 -0.044026416 	 -0.007004203 	 0.160096058 	 0.000000000
K00224DC	 1248.7780 	 0.000000000 	 0.016580104 	 0.090691171 	 0.086296444 	 0.007990412 	 0.000000000
K00225DC	 1253.7780 	 0.000000000 	 0.027800000 	 -0.010000000 	 -0.090800000 	 -0.070000000 	 0.000000000
K00226DC	 1258.7750 	 0.000200120 	 -0.169101461 	 -0.000400240 	 0.072043226 	 -0.016009606 	 0.000000000
K00227DC	 1263.7720 	 0.000000000 	 0.032819692 	 0.004602762 	 -0.022013208 	 0.006003602 	 0.000000000
K00228DC	 1268.7780 	 0.000000000 	 0.031162605 	 0.033160208 	 -0.011985617 	 -0.027966440 	 0.000000000
