ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00133DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00134DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00135DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00136DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00137DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00138DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00139DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00140DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00141DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00142DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00143DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00144DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00145DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00146DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00147DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00148DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00149DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00150DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00151DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00152DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00153DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00154DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00155DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00156DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00157DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00158DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00159DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00160DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00161DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00162DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00163DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00164DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00165DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00166DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00167DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00168DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00169DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00170DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00171DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00172DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00173DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00174DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00175DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00176DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00177DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00178DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00179DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00180DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00181DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00182DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
K00183DC	10	1.00	0.00	0.05	0.00	0.20	54.19	307.36
