ima_id	band	rel_a	rel_b	sd_rela	sd_relb	sd_dn	sunzen	sunaz
rad 1 0
K00407DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00408DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00409DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00410DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00411DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00412DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00413DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00414DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00415DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00416DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00417DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00418DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00419DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00420DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00421DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00422DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00423DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00424DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00425DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00426DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00427DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00428DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00429DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00430DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00431DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00432DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00433DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00434DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00435DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00436DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00437DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00438DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00439DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00441DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00442DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00443DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00444DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00445DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00446DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00447DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00448DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00449DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00450DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00451DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00452DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00453DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00454DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00455DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00456DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00457DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00458DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00459DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00460DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00461DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00462DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00463DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00464DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00465DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00466DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00467DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00468DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00469DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00470DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00471DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00472DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00473DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00474DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00475DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00476DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00477DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00479DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
K00480DC	5 	1.00	0.00	0.05	0.00	0.20	89.05	75.11	
